date,fng_value,fng_classification
8/1/2021,60,Greed
7/31/2021,60,Greed
7/30/2021,53,Neutral
7/29/2021,50,Neutral
7/28/2021,50,Neutral
7/27/2021,32,Fear
7/26/2021,26,Fear
7/25/2021,27,Fear
7/24/2021,22,Extreme Fear
7/23/2021,23,Extreme Fear
7/22/2021,21,Extreme Fear
7/21/2021,10,Extreme Fear
7/20/2021,19,Extreme Fear
7/19/2021,24,Extreme Fear
7/18/2021,19,Extreme Fear
7/17/2021,15,Extreme Fear
7/16/2021,22,Extreme Fear
7/15/2021,20,Extreme Fear
7/14/2021,21,Extreme Fear
7/13/2021,20,Extreme Fear
7/12/2021,25,Extreme Fear
7/11/2021,20,Extreme Fear
7/10/2021,20,Extreme Fear
7/9/2021,20,Extreme Fear
7/8/2021,20,Extreme Fear
7/7/2021,28,Fear
7/6/2021,20,Extreme Fear
7/5/2021,29,Fear
7/4/2021,27,Fear
7/3/2021,24,Extreme Fear
7/2/2021,21,Extreme Fear
7/1/2021,28,Fear
6/30/2021,28,Fear
6/29/2021,25,Extreme Fear
6/28/2021,25,Extreme Fear
6/27/2021,22,Extreme Fear
6/26/2021,20,Extreme Fear
6/25/2021,27,Fear
6/24/2021,22,Extreme Fear
6/23/2021,14,Extreme Fear
6/22/2021,10,Extreme Fear
6/21/2021,23,Extreme Fear
6/20/2021,21,Extreme Fear
6/19/2021,23,Extreme Fear
6/18/2021,25,Extreme Fear
6/17/2021,26,Fear
6/16/2021,33,Fear
6/15/2021,38,Fear
6/14/2021,28,Fear
6/13/2021,23,Extreme Fear
6/12/2021,28,Fear
6/11/2021,21,Extreme Fear
6/10/2021,21,Extreme Fear
6/9/2021,14,Extreme Fear
6/8/2021,13,Extreme Fear
6/7/2021,15,Extreme Fear
6/6/2021,17,Extreme Fear
6/5/2021,24,Extreme Fear
6/4/2021,27,Fear
6/3/2021,24,Extreme Fear
6/2/2021,23,Extreme Fear
6/1/2021,20,Extreme Fear
5/31/2021,18,Extreme Fear
5/30/2021,10,Extreme Fear
5/29/2021,18,Extreme Fear
5/28/2021,21,Extreme Fear
5/27/2021,27,Fear
5/26/2021,22,Extreme Fear
5/25/2021,22,Extreme Fear
5/24/2021,10,Extreme Fear
5/23/2021,14,Extreme Fear
5/22/2021,12,Extreme Fear
5/21/2021,19,Extreme Fear
5/20/2021,11,Extreme Fear
5/19/2021,23,Extreme Fear
5/18/2021,21,Extreme Fear
5/17/2021,27,Fear
5/16/2021,20,Extreme Fear
5/15/2021,27,Fear
5/14/2021,26,Fear
5/13/2021,31,Fear
5/12/2021,68,Greed
5/11/2021,61,Greed
5/10/2021,72,Greed
5/9/2021,73,Greed
5/8/2021,67,Greed
5/7/2021,64,Greed
5/6/2021,65,Greed
5/5/2021,48,Neutral
5/4/2021,68,Greed
5/3/2021,61,Greed
5/2/2021,66,Greed
5/1/2021,68,Greed
4/30/2021,51,Neutral
4/29/2021,52,Neutral
4/28/2021,59,Greed
4/27/2021,50,Neutral
4/26/2021,27,Fear
4/25/2021,31,Fear
4/24/2021,37,Fear
4/23/2021,55,Greed
4/22/2021,65,Greed
4/21/2021,73,Greed
4/20/2021,73,Greed
4/19/2021,74,Greed
4/18/2021,79,Extreme Greed
4/17/2021,76,Extreme Greed
4/16/2021,78,Extreme Greed
4/15/2021,79,Extreme Greed
4/14/2021,75,Greed
4/13/2021,74,Greed
4/12/2021,74,Greed
4/11/2021,76,Extreme Greed
4/10/2021,70,Greed
4/9/2021,70,Greed
4/8/2021,73,Greed
4/7/2021,72,Greed
4/6/2021,75,Greed
4/5/2021,71,Greed
4/4/2021,74,Greed
4/3/2021,73,Greed
4/2/2021,74,Greed
4/1/2021,74,Greed
3/31/2021,76,Extreme Greed
3/30/2021,72,Greed
3/29/2021,72,Greed
3/28/2021,74,Greed
3/27/2021,65,Greed
3/26/2021,54,Neutral
3/25/2021,60,Greed
3/24/2021,65,Greed
3/23/2021,66,Greed
3/22/2021,70,Greed
3/21/2021,73,Greed
3/20/2021,75,Greed
3/19/2021,71,Greed
3/18/2021,72,Greed
3/17/2021,71,Greed
3/16/2021,71,Greed
3/15/2021,76,Extreme Greed
3/14/2021,78,Extreme Greed
3/13/2021,74,Greed
3/12/2021,70,Greed
3/11/2021,73,Greed
3/10/2021,68,Greed
3/9/2021,81,Extreme Greed
3/8/2021,81,Extreme Greed
3/7/2021,76,Extreme Greed
3/6/2021,77,Extreme Greed
3/5/2021,77,Extreme Greed
3/4/2021,84,Extreme Greed
3/3/2021,78,Extreme Greed
3/2/2021,78,Extreme Greed
3/1/2021,38,Fear
2/28/2021,55,Greed
2/27/2021,56,Greed
2/26/2021,55,Greed
2/25/2021,79,Extreme Greed
2/24/2021,76,Extreme Greed
2/23/2021,94,Extreme Greed
2/22/2021,94,Extreme Greed
2/21/2021,91,Extreme Greed
2/20/2021,91,Extreme Greed
2/19/2021,93,Extreme Greed
2/18/2021,91,Extreme Greed
2/17/2021,95,Extreme Greed
2/16/2021,95,Extreme Greed
2/15/2021,93,Extreme Greed
2/14/2021,95,Extreme Greed
2/13/2021,92,Extreme Greed
2/12/2021,92,Extreme Greed
2/11/2021,93,Extreme Greed
2/10/2021,92,Extreme Greed
2/9/2021,95,Extreme Greed
2/8/2021,83,Extreme Greed
2/7/2021,86,Extreme Greed
2/6/2021,84,Extreme Greed
2/5/2021,81,Extreme Greed
2/4/2021,80,Extreme Greed
2/3/2021,78,Extreme Greed
2/2/2021,76,Extreme Greed
2/1/2021,77,Extreme Greed
1/31/2021,78,Extreme Greed
1/30/2021,76,Extreme Greed
1/29/2021,77,Extreme Greed
1/28/2021,55,Greed
1/27/2021,78,Extreme Greed
1/26/2021,71,Greed
1/25/2021,74,Greed
1/24/2021,70,Greed
1/23/2021,74,Greed
1/22/2021,40,Fear
1/21/2021,75,Greed
1/20/2021,78,Extreme Greed
1/19/2021,80,Extreme Greed
1/18/2021,79,Extreme Greed
1/17/2021,79,Extreme Greed
1/16/2021,84,Extreme Greed
1/15/2021,88,Extreme Greed
1/14/2021,83,Extreme Greed
1/13/2021,78,Extreme Greed
1/12/2021,84,Extreme Greed
1/11/2021,90,Extreme Greed
1/10/2021,94,Extreme Greed
1/9/2021,93,Extreme Greed
1/8/2021,93,Extreme Greed
1/7/2021,91,Extreme Greed
1/6/2021,95,Extreme Greed
1/5/2021,93,Extreme Greed
1/4/2021,94,Extreme Greed
1/3/2021,93,Extreme Greed
1/2/2021,94,Extreme Greed
1/1/2021,94,Extreme Greed
12/31/2020,95,Extreme Greed
12/30/2020,91,Extreme Greed
12/29/2020,91,Extreme Greed
12/28/2020,92,Extreme Greed
12/27/2020,91,Extreme Greed
12/26/2020,93,Extreme Greed
12/25/2020,94,Extreme Greed
12/24/2020,86,Extreme Greed
12/23/2020,93,Extreme Greed
12/22/2020,88,Extreme Greed
12/21/2020,92,Extreme Greed
12/20/2020,92,Extreme Greed
12/19/2020,93,Extreme Greed
12/18/2020,95,Extreme Greed
12/17/2020,92,Extreme Greed
12/16/2020,92,Extreme Greed
12/15/2020,91,Extreme Greed
12/14/2020,95,Extreme Greed
12/13/2020,91,Extreme Greed
12/12/2020,90,Extreme Greed
12/11/2020,89,Extreme Greed
12/10/2020,94,Extreme Greed
12/9/2020,86,Extreme Greed
12/8/2020,95,Extreme Greed
12/7/2020,94,Extreme Greed
12/6/2020,95,Extreme Greed
12/5/2020,93,Extreme Greed
12/4/2020,92,Extreme Greed
12/3/2020,92,Extreme Greed
12/2/2020,92,Extreme Greed
12/1/2020,95,Extreme Greed
11/30/2020,88,Extreme Greed
11/29/2020,89,Extreme Greed
11/28/2020,87,Extreme Greed
11/27/2020,86,Extreme Greed
11/26/2020,93,Extreme Greed
11/25/2020,94,Extreme Greed
11/24/2020,88,Extreme Greed
11/23/2020,90,Extreme Greed
11/22/2020,94,Extreme Greed
11/21/2020,91,Extreme Greed
11/20/2020,86,Extreme Greed
11/19/2020,94,Extreme Greed
11/18/2020,91,Extreme Greed
11/17/2020,86,Extreme Greed
11/16/2020,90,Extreme Greed
11/15/2020,86,Extreme Greed
11/14/2020,90,Extreme Greed
11/13/2020,89,Extreme Greed
11/12/2020,87,Extreme Greed
11/11/2020,86,Extreme Greed
11/10/2020,90,Extreme Greed
11/9/2020,90,Extreme Greed
11/8/2020,82,Extreme Greed
11/7/2020,88,Extreme Greed
11/6/2020,90,Extreme Greed
11/5/2020,72,Greed
11/4/2020,74,Greed
11/3/2020,71,Greed
11/2/2020,71,Greed
11/1/2020,72,Greed
10/31/2020,73,Greed
10/30/2020,74,Greed
10/29/2020,67,Greed
10/28/2020,70,Greed
10/27/2020,61,Greed
10/26/2020,75,Greed
10/25/2020,76,Extreme Greed
10/24/2020,73,Greed
10/23/2020,74,Greed
10/22/2020,73,Greed
10/21/2020,61,Greed
10/20/2020,56,Greed
10/19/2020,55,Greed
10/18/2020,55,Greed
10/17/2020,56,Greed
10/16/2020,52,Neutral
10/15/2020,56,Greed
10/14/2020,53,Neutral
10/13/2020,56,Greed
10/12/2020,52,Neutral
10/11/2020,55,Greed
10/10/2020,53,Neutral
10/9/2020,48,Neutral
10/8/2020,46,Fear
10/7/2020,43,Fear
10/6/2020,47,Neutral
10/5/2020,42,Fear
10/4/2020,42,Fear
10/3/2020,40,Fear
10/2/2020,41,Fear
10/1/2020,45,Fear
9/30/2020,49,Neutral
9/29/2020,45,Fear
9/28/2020,43,Fear
9/27/2020,47,Neutral
9/26/2020,45,Fear
9/25/2020,46,Fear
9/24/2020,39,Fear
9/23/2020,43,Fear
9/22/2020,39,Fear
9/21/2020,48,Neutral
9/20/2020,52,Neutral
9/19/2020,48,Neutral
9/18/2020,49,Neutral
9/17/2020,48,Neutral
9/16/2020,43,Fear
9/15/2020,47,Neutral
9/14/2020,39,Fear
9/13/2020,38,Fear
9/12/2020,41,Fear
9/11/2020,41,Fear
9/10/2020,38,Fear
9/9/2020,38,Fear
9/8/2020,41,Fear
9/7/2020,41,Fear
9/6/2020,41,Fear
9/5/2020,41,Fear
9/4/2020,40,Fear
9/3/2020,79,Extreme Greed
9/2/2020,83,Extreme Greed
9/1/2020,75,Greed
8/31/2020,75,Greed
8/30/2020,75,Greed
8/29/2020,79,Extreme Greed
8/28/2020,74,Greed
8/27/2020,75,Greed
8/26/2020,76,Extreme Greed
8/25/2020,75,Greed
8/24/2020,78,Extreme Greed
8/23/2020,76,Extreme Greed
8/22/2020,78,Extreme Greed
8/21/2020,81,Extreme Greed
8/20/2020,75,Greed
8/19/2020,80,Extreme Greed
8/18/2020,82,Extreme Greed
8/17/2020,83,Extreme Greed
8/16/2020,82,Extreme Greed
8/15/2020,79,Extreme Greed
8/14/2020,78,Extreme Greed
8/13/2020,75,Greed
8/12/2020,75,Greed
8/11/2020,84,Extreme Greed
8/10/2020,78,Extreme Greed
8/9/2020,79,Extreme Greed
8/8/2020,77,Extreme Greed
8/7/2020,77,Extreme Greed
8/6/2020,79,Extreme Greed
8/5/2020,75,Greed
8/4/2020,72,Greed
8/3/2020,75,Greed
8/2/2020,80,Extreme Greed
8/1/2020,75,Greed
7/31/2020,75,Greed
7/30/2020,76,Extreme Greed
7/29/2020,71,Greed
7/28/2020,76,Extreme Greed
7/27/2020,58,Greed
7/26/2020,55,Greed
7/25/2020,55,Greed
7/24/2020,53,Neutral
7/23/2020,55,Greed
7/22/2020,50,Neutral
7/21/2020,44,Fear
7/20/2020,44,Fear
7/19/2020,41,Fear
7/18/2020,44,Fear
7/17/2020,41,Fear
7/16/2020,43,Fear
7/15/2020,44,Fear
7/14/2020,43,Fear
7/13/2020,43,Fear
7/12/2020,41,Fear
7/11/2020,44,Fear
7/10/2020,41,Fear
7/9/2020,44,Fear
7/8/2020,44,Fear
7/7/2020,43,Fear
7/6/2020,40,Fear
7/5/2020,38,Fear
7/4/2020,40,Fear
7/3/2020,41,Fear
7/2/2020,42,Fear
7/1/2020,42,Fear
6/30/2020,44,Fear
6/29/2020,41,Fear
6/28/2020,40,Fear
6/27/2020,43,Fear
6/26/2020,40,Fear
6/25/2020,43,Fear
6/24/2020,50,Neutral
6/23/2020,41,Fear
6/22/2020,38,Fear
6/21/2020,37,Fear
6/20/2020,38,Fear
6/19/2020,39,Fear
6/18/2020,40,Fear
6/17/2020,38,Fear
6/16/2020,39,Fear
6/15/2020,37,Fear
6/14/2020,40,Fear
6/13/2020,38,Fear
6/12/2020,38,Fear
6/11/2020,52,Neutral
6/10/2020,54,Neutral
6/9/2020,52,Neutral
6/8/2020,53,Neutral
6/7/2020,54,Neutral
6/6/2020,54,Neutral
6/5/2020,53,Neutral
6/4/2020,54,Neutral
6/3/2020,48,Neutral
6/2/2020,56,Greed
6/1/2020,50,Neutral
5/31/2020,51,Neutral
5/30/2020,48,Neutral
5/29/2020,48,Neutral
5/28/2020,41,Fear
5/27/2020,39,Fear
5/26/2020,39,Fear
5/25/2020,41,Fear
5/24/2020,43,Fear
5/23/2020,40,Fear
5/22/2020,42,Fear
5/21/2020,49,Neutral
5/20/2020,52,Neutral
5/19/2020,50,Neutral
5/18/2020,50,Neutral
5/17/2020,40,Fear
5/16/2020,41,Fear
5/15/2020,44,Fear
5/14/2020,40,Fear
5/13/2020,41,Fear
5/12/2020,39,Fear
5/11/2020,40,Fear
5/10/2020,48,Neutral
5/9/2020,56,Greed
5/8/2020,55,Greed
5/7/2020,49,Neutral
5/6/2020,42,Fear
5/5/2020,40,Fear
5/4/2020,44,Fear
5/3/2020,45,Fear
5/2/2020,40,Fear
5/1/2020,40,Fear
4/30/2020,44,Fear
4/29/2020,26,Fear
4/28/2020,26,Fear
4/27/2020,28,Fear
4/26/2020,21,Extreme Fear
4/25/2020,24,Extreme Fear
4/24/2020,20,Extreme Fear
4/23/2020,19,Extreme Fear
4/22/2020,19,Extreme Fear
4/21/2020,17,Extreme Fear
4/20/2020,15,Extreme Fear
4/19/2020,16,Extreme Fear
4/18/2020,18,Extreme Fear
4/17/2020,15,Extreme Fear
4/16/2020,13,Extreme Fear
4/15/2020,18,Extreme Fear
4/14/2020,15,Extreme Fear
4/13/2020,11,Extreme Fear
4/12/2020,10,Extreme Fear
4/11/2020,15,Extreme Fear
4/10/2020,15,Extreme Fear
4/9/2020,22,Extreme Fear
4/8/2020,21,Extreme Fear
4/7/2020,20,Extreme Fear
4/6/2020,12,Extreme Fear
4/5/2020,12,Extreme Fear
4/4/2020,12,Extreme Fear
4/3/2020,14,Extreme Fear
4/2/2020,14,Extreme Fear
4/1/2020,12,Extreme Fear
3/31/2020,12,Extreme Fear
3/30/2020,10,Extreme Fear
3/29/2020,12,Extreme Fear
3/28/2020,8,Extreme Fear
3/27/2020,12,Extreme Fear
3/26/2020,14,Extreme Fear
3/25/2020,13,Extreme Fear
3/24/2020,12,Extreme Fear
3/23/2020,10,Extreme Fear
3/22/2020,11,Extreme Fear
3/21/2020,9,Extreme Fear
3/20/2020,9,Extreme Fear
3/19/2020,12,Extreme Fear
3/18/2020,11,Extreme Fear
3/17/2020,8,Extreme Fear
3/16/2020,9,Extreme Fear
3/15/2020,12,Extreme Fear
3/14/2020,8,Extreme Fear
3/13/2020,10,Extreme Fear
3/12/2020,14,Extreme Fear
3/11/2020,17,Extreme Fear
3/10/2020,16,Extreme Fear
3/9/2020,17,Extreme Fear
3/8/2020,33,Fear
3/7/2020,38,Fear
3/6/2020,39,Fear
3/5/2020,41,Fear
3/4/2020,40,Fear
3/3/2020,38,Fear
3/2/2020,38,Fear
3/1/2020,39,Fear
2/29/2020,38,Fear
2/28/2020,40,Fear
2/27/2020,39,Fear
2/26/2020,41,Fear
2/25/2020,44,Fear
2/24/2020,46,Fear
2/23/2020,46,Fear
2/22/2020,43,Fear
2/21/2020,44,Fear
2/20/2020,44,Fear
2/19/2020,50,Neutral
2/18/2020,53,Neutral
2/17/2020,49,Neutral
2/16/2020,59,Greed
2/15/2020,64,Greed
2/14/2020,63,Greed
2/13/2020,65,Greed
2/12/2020,61,Greed
2/11/2020,52,Neutral
2/10/2020,57,Greed
2/9/2020,56,Greed
2/8/2020,56,Greed
2/7/2020,56,Greed
2/6/2020,61,Greed
2/5/2020,53,Neutral
2/4/2020,56,Greed
2/3/2020,59,Greed
2/2/2020,57,Greed
2/1/2020,57,Greed
1/31/2020,55,Greed
1/30/2020,57,Greed
1/29/2020,57,Greed
1/28/2020,54,Neutral
1/27/2020,50,Neutral
1/26/2020,42,Fear
1/25/2020,41,Fear
1/24/2020,40,Fear
1/23/2020,49,Neutral
1/22/2020,52,Neutral
1/21/2020,49,Neutral
1/20/2020,48,Neutral
1/19/2020,53,Neutral
1/18/2020,51,Neutral
1/17/2020,54,Neutral
1/16/2020,55,Greed
1/15/2020,54,Neutral
1/14/2020,56,Greed
1/13/2020,49,Neutral
1/12/2020,45,Fear
1/11/2020,50,Neutral
1/10/2020,41,Fear
1/9/2020,44,Fear
1/8/2020,51,Neutral
1/7/2020,40,Fear
1/6/2020,41,Fear
1/5/2020,39,Fear
1/4/2020,38,Fear
1/3/2020,38,Fear
1/2/2020,39,Fear
1/1/2020,37,Fear
12/31/2019,38,Fear
12/30/2019,40,Fear
12/29/2019,37,Fear
12/28/2019,37,Fear
12/27/2019,38,Fear
12/26/2019,39,Fear
12/25/2019,22,Extreme Fear
12/24/2019,25,Extreme Fear
12/23/2019,33,Fear
12/22/2019,20,Extreme Fear
12/21/2019,23,Extreme Fear
12/20/2019,23,Extreme Fear
12/19/2019,21,Extreme Fear
12/18/2019,15,Extreme Fear
12/17/2019,23,Extreme Fear
12/16/2019,24,Extreme Fear
12/15/2019,21,Extreme Fear
12/14/2019,27,Fear
12/13/2019,22,Extreme Fear
12/12/2019,23,Extreme Fear
12/11/2019,20,Extreme Fear
12/10/2019,26,Fear
12/9/2019,32,Fear
12/8/2019,28,Fear
12/7/2019,32,Fear
12/6/2019,29,Fear
12/5/2019,21,Extreme Fear
12/4/2019,24,Extreme Fear
12/3/2019,28,Fear
12/2/2019,28,Fear
12/1/2019,25,Extreme Fear
11/30/2019,38,Fear
11/29/2019,31,Fear
11/28/2019,32,Fear
11/27/2019,20,Extreme Fear
11/26/2019,21,Extreme Fear
11/25/2019,17,Extreme Fear
11/24/2019,21,Extreme Fear
11/23/2019,23,Extreme Fear
11/22/2019,20,Extreme Fear
11/21/2019,30,Fear
11/20/2019,32,Fear
11/19/2019,32,Fear
11/18/2019,38,Fear
11/17/2019,38,Fear
11/16/2019,41,Fear
11/15/2019,38,Fear
11/14/2019,41,Fear
11/13/2019,38,Fear
11/12/2019,39,Fear
11/11/2019,40,Fear
11/10/2019,39,Fear
11/9/2019,38,Fear
11/8/2019,42,Fear
11/7/2019,54,Neutral
11/6/2019,53,Neutral
11/5/2019,54,Neutral
11/4/2019,49,Neutral
11/3/2019,56,Greed
11/2/2019,51,Neutral
11/1/2019,49,Neutral
10/31/2019,50,Neutral
10/30/2019,53,Neutral
10/29/2019,54,Neutral
10/28/2019,52,Neutral
10/27/2019,50,Neutral
10/26/2019,53,Neutral
10/25/2019,24,Extreme Fear
10/24/2019,20,Extreme Fear
10/23/2019,33,Fear
10/22/2019,39,Fear
10/21/2019,37,Fear
10/20/2019,37,Fear
10/19/2019,41,Fear
10/18/2019,40,Fear
10/17/2019,40,Fear
10/16/2019,40,Fear
10/15/2019,39,Fear
10/14/2019,37,Fear
10/13/2019,38,Fear
10/12/2019,38,Fear
10/11/2019,39,Fear
10/10/2019,41,Fear
10/9/2019,37,Fear
10/8/2019,39,Fear
10/7/2019,27,Fear
10/6/2019,32,Fear
10/5/2019,31,Fear
10/4/2019,30,Fear
10/3/2019,37,Fear
10/2/2019,39,Fear
10/1/2019,38,Fear
9/30/2019,27,Fear
9/29/2019,33,Fear
9/28/2019,32,Fear
9/27/2019,24,Extreme Fear
9/26/2019,12,Extreme Fear
9/25/2019,15,Extreme Fear
9/24/2019,39,Fear
9/23/2019,41,Fear
9/22/2019,37,Fear
9/21/2019,37,Fear
9/20/2019,41,Fear
9/19/2019,31,Fear
9/18/2019,38,Fear
9/17/2019,41,Fear
9/16/2019,38,Fear
9/15/2019,38,Fear
9/14/2019,39,Fear
9/13/2019,38,Fear
9/12/2019,39,Fear
9/11/2019,38,Fear
9/10/2019,41,Fear
9/9/2019,41,Fear
9/8/2019,43,Fear
9/7/2019,39,Fear
9/6/2019,43,Fear
9/5/2019,41,Fear
9/4/2019,43,Fear
9/3/2019,41,Fear
9/2/2019,28,Fear
9/1/2019,24,Extreme Fear
8/31/2019,20,Extreme Fear
8/30/2019,24,Extreme Fear
8/29/2019,20,Extreme Fear
8/28/2019,32,Fear
8/27/2019,30,Fear
8/26/2019,41,Fear
8/25/2019,33,Fear
8/24/2019,39,Fear
8/23/2019,33,Fear
8/22/2019,5,Extreme Fear
8/21/2019,11,Extreme Fear
8/20/2019,39,Fear
8/19/2019,30,Fear
8/18/2019,14,Extreme Fear
8/17/2019,20,Extreme Fear
8/16/2019,31,Fear
8/15/2019,13,Extreme Fear
8/14/2019,11,Extreme Fear
8/13/2019,45,Fear
8/12/2019,48,Neutral
8/11/2019,45,Fear
8/10/2019,59,Greed
8/9/2019,60,Greed
8/8/2019,61,Greed
8/7/2019,45,Fear
8/6/2019,66,Greed
8/5/2019,64,Greed
8/4/2019,62,Greed
8/3/2019,61,Greed
8/2/2019,61,Greed
8/1/2019,57,Greed
7/31/2019,31,Fear
7/30/2019,22,Extreme Fear
7/29/2019,19,Extreme Fear
7/28/2019,16,Extreme Fear
7/27/2019,47,Neutral
7/26/2019,24,Extreme Fear
7/25/2019,42,Fear
7/24/2019,20,Extreme Fear
7/23/2019,40,Fear
7/22/2019,42,Fear
7/21/2019,42,Fear
7/20/2019,34,Fear
7/19/2019,42,Fear
7/18/2019,40,Fear
7/17/2019,19,Extreme Fear
7/16/2019,34,Fear
7/15/2019,16,Extreme Fear
7/14/2019,61,Greed
7/13/2019,65,Greed
7/12/2019,33,Fear
7/11/2019,62,Greed
7/10/2019,83,Extreme Greed
7/9/2019,84,Extreme Greed
7/8/2019,74,Greed
7/7/2019,67,Greed
7/6/2019,72,Greed
7/5/2019,67,Greed
7/4/2019,76,Extreme Greed
7/3/2019,79,Extreme Greed
7/2/2019,63,Greed
7/1/2019,65,Greed
6/30/2019,78,Extreme Greed
6/29/2019,74,Greed
6/28/2019,62,Greed
6/27/2019,92,Extreme Greed
6/26/2019,95,Extreme Greed
6/25/2019,87,Extreme Greed
6/24/2019,80,Extreme Greed
6/23/2019,84,Extreme Greed
6/22/2019,83,Extreme Greed
6/21/2019,84,Extreme Greed
6/20/2019,81,Extreme Greed
6/19/2019,82,Extreme Greed
6/18/2019,83,Extreme Greed
6/17/2019,84,Extreme Greed
6/16/2019,80,Extreme Greed
6/15/2019,75,Greed
6/14/2019,67,Greed
6/13/2019,63,Greed
6/12/2019,60,Greed
6/11/2019,61,Greed
6/10/2019,46,Fear
6/9/2019,62,Greed
6/8/2019,62,Greed
6/7/2019,27,Fear
6/6/2019,34,Fear
6/5/2019,27,Fear
6/4/2019,42,Fear
6/3/2019,66,Greed
6/2/2019,63,Greed
6/1/2019,62,Greed
5/31/2019,61,Greed
5/30/2019,73,Greed
5/29/2019,71,Greed
5/28/2019,71,Greed
5/27/2019,70,Greed
5/26/2019,67,Greed
5/25/2019,69,Greed
5/24/2019,64,Greed
5/23/2019,65,Greed
5/22/2019,69,Greed
5/21/2019,68,Greed
5/20/2019,73,Greed
5/19/2019,70,Greed
5/18/2019,67,Greed
5/17/2019,65,Greed
5/16/2019,75,Greed
